id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
91,"College Road, Pune",Pune,18.478834,73.867544,College Road,9,9,6,7,41,4,Harassment,23.34,Low,94.93,"18.479868,73.867081 -> 18.478509,73.867654 -> 18.478466,73.869954 -> 18.48436,73.86615",True,dad,Relative,Notify selected relative
92,"Main Road, Delhi",Delhi,28.565957,77.20591,Main Road,6,8,6,6,84,3,None,38.82,Medium,86.08,"28.563948,77.210008 -> 28.570151,77.204526 -> 28.567379,77.209981 -> 28.565009,77.205401 -> 28.564503,77.203373 -> 28.564334,77.20285",False,none,No Alert,No action
93,"Residential Street, Pune",Pune,18.521593,73.829751,Residential Street,8,2,8,7,1,3,None,26.52,Low,89.95,"18.517703,73.830578 -> 18.523677,73.824767 -> 18.522528,73.83282 -> 18.518569,73.833932 -> 18.522641,73.827988 -> 18.521454,73.831147",True,help me,Help,Trigger emergency alert and share location
94,"College Road, Chennai",Chennai,13.08536,80.289556,College Road,10,7,10,1,42,9,Stalking,19.86,Low,89.23,"13.085783,80.286022 -> 13.085082,80.287296 -> 13.083521,80.292646 -> 13.088088,80.291079 -> 13.082629,80.288765 -> 13.088393,80.28991",True,call my mother,Relative,Notify selected relative
95,"Main Road, Mumbai",Mumbai,19.157177,72.891466,Main Road,10,2,3,10,87,5,Harassment,38.84,Medium,78.62,"19.156404,72.8918 -> 19.156796,72.893236 -> 19.159569,72.889501 -> 19.153849,72.886875",True,help,Help,Trigger emergency alert and share location
96,"Residential Street, Hyderabad",Hyderabad,17.40278,78.448082,Residential Street,8,3,4,0,5,6,Harassment,34.89,Medium,62.75,"17.403751,78.454314 -> 17.402765,78.450178 -> 17.402985,78.447835",True,call police,Emergency,Trigger emergency alert and share location
97,"Market Road, Delhi",Delhi,28.646068,77.19884,Market Road,4,9,6,9,87,3,None,38.84,Medium,75.0,"28.646872,77.19717 -> 28.648548,77.198403 -> 28.644179,77.200181 -> 28.643822,77.19891",True,help me,Help,Trigger emergency alert and share location
98,"Bus Stop Area, Delhi",Delhi,28.613581,77.247006,Bus Stop Area,8,10,2,3,59,5,Stalking,34.84,Medium,77.03,"28.613518,77.24905 -> 28.617057,77.248401 -> 28.613607,77.243726 -> 28.610918,77.246243 -> 28.612057,77.246539 -> 28.613723,77.24833",True,call police,Emergency,Trigger emergency alert and share location
99,"Railway Station Road, Mumbai",Mumbai,19.073533,72.894728,Railway Station Road,9,3,1,7,44,10,Stalking,33.36,Medium,79.56,"19.068594,72.89238 -> 19.073173,72.891704 -> 19.075033,72.898555 -> 19.07658,72.894194 -> 19.07726,72.8951",True,call my father,Relative,Notify selected relative
100,"Railway Station Road, Mumbai",Mumbai,19.064202,72.856231,Railway Station Road,4,7,7,1,30,7,Theft,34.77,Medium,71.11,"19.063232,72.856657 -> 19.064603,72.856239 -> 19.065294,72.859208 -> 19.066576,72.852519 -> 19.057817,72.858567 -> 19.060785,72.855669 -> 19.061277,72.851726",True,call my mother,Relative,Notify selected relative
101,"Main Road, Chennai",Chennai,13.101651,80.29727,Main Road,7,5,0,9,87,1,Robbery,48.84,Medium,60.18,"13.095173,80.295904 -> 13.102631,80.293573 -> 13.102109,80.297232 -> 13.103099,80.297569 -> 13.099218,80.300261 -> 13.101255,80.297202 -> 13.099318,80.296162",True,call my sister,Relative,Notify selected relative
102,"Bus Stop Area, Chennai",Chennai,13.051732,80.264647,Bus Stop Area,10,6,3,10,24,10,Stalking,18.82,Low,100.0,"13.048302,80.260613 -> 13.05541,80.264124 -> 13.050059,80.267247 -> 13.050218,80.269212 -> 13.053427,80.263427",True,help me,Help,Trigger emergency alert and share location
103,"Railway Station Road, Visakhapatnam",Visakhapatnam,17.762306,83.1973,Railway Station Road,8,1,9,5,93,3,None,42.98,Medium,75.13,"17.763054,83.200554 -> 17.76621,83.19738 -> 17.760422,83.19845",True,call police,Emergency,Trigger emergency alert and share location
104,"Market Road, Delhi",Delhi,28.59018,77.279469,Market Road,4,3,8,5,67,9,None,39.3,Medium,72.09,"28.589267,77.279931 -> 28.586812,77.27704 -> 28.593181,77.277827 -> 28.587563,77.280811 -> 28.593144,77.281266",True,help me,Help,Trigger emergency alert and share location
105,"Railway Station Road, Mumbai",Mumbai,19.110862,72.851212,Railway Station Road,6,2,7,1,18,4,Harassment,38.77,Medium,63.12,"19.114615,72.850405 -> 19.110235,72.854532 -> 19.112253,72.852352 -> 19.116275,72.849603 -> 19.113182,72.851355 -> 19.111533,72.855033",True,mom,Relative,Notify selected relative
106,"Main Road, Delhi",Delhi,28.631674,77.22784,Main Road,5,9,1,7,47,5,Robbery,37.48,Medium,77.29,"28.630762,77.225742 -> 28.629062,77.222924 -> 28.636815,77.225082 -> 28.631121,77.227148 -> 28.632443,77.229879 -> 28.633825,77.226382 -> 28.631256,77.228546",True,call my father,Relative,Notify selected relative
107,"Residential Street, Pune",Pune,18.511696,73.912957,Residential Street,4,8,0,9,71,6,Stalking,43.11,Medium,68.84,"18.513533,73.914614 -> 18.51463,73.91341 -> 18.508454,73.913956 -> 18.510068,73.911635 -> 18.513162,73.916053 -> 18.511749,73.913729 -> 18.515952,73.913559",True,save me,Help,Trigger emergency alert and share location
108,"Railway Station Road, Mumbai",Mumbai,19.167059,72.897493,Railway Station Road,7,2,2,0,4,5,None,41.55,Medium,56.25,"19.168942,72.898446 -> 19.170283,72.899176 -> 19.166713,72.894432 -> 19.166536,72.895367 -> 19.165608,72.898964 -> 19.171234,72.89848",True,help,Help,Trigger emergency alert and share location
109,"Park Road, Vijayawada",Vijayawada,16.464344,80.663561,Park Road,8,6,10,8,53,10,Stalking,19.34,Low,100.0,"16.46282,80.663226 -> 16.464381,80.661599 -> 16.465965,80.663259 -> 16.465393,80.661342",True,call my father,Relative,Notify selected relative
110,"Park Road, Mumbai",Mumbai,19.060689,72.902983,Park Road,5,1,5,3,56,8,None,45.27,Medium,61.46,"19.065006,72.901984 -> 19.061251,72.905314 -> 19.057143,72.898581 -> 19.056875,72.906139",True,call my mother,Relative,Notify selected relative
111,"College Road, Pune",Pune,18.501085,73.946237,College Road,1,7,4,3,15,8,Stalking,39.2,Medium,62.87,"18.501546,73.950092 -> 18.5061,73.951391 -> 18.504106,73.948797",True,save me,Help,Trigger emergency alert and share location
112,"Main Road, Visakhapatnam",Visakhapatnam,17.707538,83.245743,Main Road,6,4,2,9,26,2,Theft,38.68,Medium,70.66,"17.705493,83.245735 -> 17.707113,83.24461 -> 17.709279,83.248131 -> 17.707759,83.249437 -> 17.704684,83.245259 -> 17.705746,83.241077 -> 17.707331,83.245439",True,save me,Help,Trigger emergency alert and share location
113,"College Road, Bengaluru",Bengaluru,13.024571,77.616678,College Road,3,10,0,4,18,3,Robbery,41.05,Medium,59.03,"13.029206,77.619731 -> 13.026026,77.616112 -> 13.022172,77.615747 -> 13.027293,77.621389 -> 13.028429,77.615456 -> 13.021772,77.61703 -> 13.02015,77.617486",True,call police,Emergency,Trigger emergency alert and share location
114,"Main Road, Hyderabad",Hyderabad,17.379834,78.470389,Main Road,3,1,5,3,75,6,None,53.75,Medium,45.28,"17.381118,78.469057 -> 17.376909,78.463208 -> 17.379765,78.47482",True,help me,Help,Trigger emergency alert and share location
115,"Park Road, Vijayawada",Vijayawada,16.564344,80.632002,Park Road,9,2,1,7,57,6,None,40.43,Medium,69.16,"16.565516,80.629506 -> 16.565098,80.633917 -> 16.567411,80.631752 -> 16.563835,80.629807 -> 16.562277,80.631436 -> 16.565262,80.634286 -> 16.562336,80.635734",True,dad,Relative,Notify selected relative
116,"Main Road, Bengaluru",Bengaluru,12.962111,77.593852,Main Road,9,5,7,10,3,1,Harassment,21.39,Low,92.58,"12.95605,77.596062 -> 12.963953,77.593149 -> 12.962278,77.595142 -> 12.958205,77.592529 -> 12.964097,77.590716 -> 12.962845,77.590461",True,call my father,Relative,Notify selected relative
117,"Industrial Road, Hyderabad",Hyderabad,17.401325,78.485453,Industrial Road,8,2,1,5,77,3,None,49.98,Medium,52.35,"17.404237,78.483617 -> 17.399299,78.485954 -> 17.404197,78.482913",True,help me,Help,Trigger emergency alert and share location
118,"Park Road, Pune",Pune,18.522559,73.871709,Park Road,10,9,4,7,64,10,Robbery,22.45,Low,95.91,"18.523,73.870791 -> 18.52049,73.871924 -> 18.519879,73.864406 -> 18.52365,73.873969 -> 18.516652,73.869185 -> 18.524107,73.876853",True,help,Help,Trigger emergency alert and share location
119,"Bus Stop Area, Hyderabad",Hyderabad,17.385728,78.46122,Bus Stop Area,7,8,3,6,43,8,Assault,30.02,Medium,80.36,"17.389165,78.459605 -> 17.38373,78.460013 -> 17.383345,78.461527 -> 17.38979,78.462028 -> 17.385097,78.46049 -> 17.38182,78.463428",True,call my father,Relative,Notify selected relative
120,"Park Road, Pune",Pune,18.517676,73.850383,Park Road,6,5,5,2,87,8,Robbery,43.84,Medium,80.82,"18.518423,73.848504 -> 18.51661,73.853254 -> 18.517959,73.846787",True,help,Help,Trigger emergency alert and share location
121,"Park Road, Hyderabad",Hyderabad,17.417173,78.463315,Park Road,2,6,2,8,7,10,None,33.84,Medium,83.73,"17.419873,78.462197 -> 17.420376,78.463485 -> 17.419305,78.464527 -> 17.415057,78.461706 -> 17.419748,78.462478 -> 17.416164,78.460927 -> 17.418232,78.468471",True,mom,Relative,Notify selected relative
122,"Park Road, Hyderabad",Hyderabad,17.347636,78.487548,Park Road,6,7,0,4,76,5,Theft,47.09,Medium,67.57,"17.347437,78.488679 -> 17.34498,78.488619 -> 17.347168,78.490012 -> 17.350604,78.494022 -> 17.349085,78.488362",True,help,Help,Trigger emergency alert and share location
123,"Market Road, Bengaluru",Bengaluru,12.978403,77.582239,Market Road,8,4,1,5,71,6,Theft,43.57,Medium,68.52,"12.977664,77.58266 -> 12.981697,77.579723 -> 12.981253,77.585532",True,call police,Emergency,Trigger emergency alert and share location
124,"Main Road, Delhi",Delhi,28.609768,77.134735,Main Road,10,5,0,2,34,5,None,37.68,Medium,68.68,"28.61301,77.134678 -> 28.60727,77.133473 -> 28.61187,77.136102 -> 28.609171,77.133818 -> 28.608789,77.132429",True,call my mother,Relative,Notify selected relative
125,"Park Road, Vijayawada",Vijayawada,16.562738,80.636719,Park Road,2,3,10,0,11,9,Harassment,35.84,Medium,76.84,"16.566541,80.639215 -> 16.561659,80.637728 -> 16.562678,80.63446 -> 16.563549,80.633771",True,call my father,Relative,Notify selected relative
126,"Market Road, Pune",Pune,18.561969,73.840438,Market Road,6,5,5,9,76,2,None,41.18,Medium,73.42,"18.562677,73.839791 -> 18.563436,73.839251 -> 18.564147,73.837073",True,help me,Help,Trigger emergency alert and share location
127,"Residential Street, Visakhapatnam",Visakhapatnam,17.691223,83.286363,Residential Street,5,8,10,6,62,10,None,25.32,Low,82.88,"17.689529,83.287648 -> 17.691672,83.28724 -> 17.692446,83.28795 -> 17.693997,83.287388 -> 17.69062,83.288044 -> 17.695973,83.286031",True,call my father,Relative,Notify selected relative
128,"College Road, Hyderabad",Hyderabad,17.350891,78.525448,College Road,7,2,4,10,86,10,Stalking,38.23,Medium,75.77,"17.345459,78.527567 -> 17.349553,78.525222 -> 17.351721,78.525924 -> 17.352665,78.524359 -> 17.352174,78.524799 -> 17.352738,78.526986",True,mom,Relative,Notify selected relative
129,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.65406,83.256509,Bus Stop Area,7,10,0,0,26,5,Assault,36.86,Medium,66.06,"17.65608,83.257427 -> 17.658655,83.25595 -> 17.653187,83.25646 -> 17.653302,83.258509",True,help me,Help,Trigger emergency alert and share location
130,"College Road, Chennai",Chennai,13.026129,80.233821,College Road,2,1,7,6,22,3,Stalking,44.41,Medium,59.55,"13.028505,80.238098 -> 13.025868,80.233399 -> 13.026304,80.236726 -> 13.023811,80.234417 -> 13.028567,80.235074 -> 13.026603,80.236324",True,mom,Relative,Notify selected relative
131,"Residential Street, Pune",Pune,18.425787,73.880426,Residential Street,7,1,6,0,58,2,Harassment,48.77,Medium,56.56,"18.42121,73.881704 -> 18.429221,73.880082 -> 18.428169,73.884457 -> 18.429074,73.884526 -> 18.427642,73.880615",True,dad,Relative,Notify selected relative
132,"Park Road, Delhi",Delhi,28.557831,77.200388,Park Road,5,2,6,0,41,3,Robbery,47.43,Medium,55.35,"28.563258,77.199948 -> 28.558139,77.201767 -> 28.55794,77.204626 -> 28.556274,77.200875 -> 28.555975,77.197088 -> 28.556302,77.200295 -> 28.556758,77.198657",True,call my sister,Relative,Notify selected relative
133,"Residential Street, Pune",Pune,18.471179,73.853791,Residential Street,7,2,3,6,75,7,Harassment,44.2,Medium,59.57,"18.473079,73.853997 -> 18.467535,73.853018 -> 18.469299,73.854589 -> 18.47453,73.849103 -> 18.471467,73.853391 -> 18.472857,73.854324 -> 18.469299,73.852993",True,help,Help,Trigger emergency alert and share location
134,"College Road, Chennai",Chennai,13.054839,80.30836,College Road,4,6,2,1,65,2,None,53.07,Medium,51.94,"13.059592,80.308208 -> 13.053068,80.304576 -> 13.050331,80.3044 -> 13.055507,80.309632 -> 13.050886,80.310598 -> 13.053631,80.308727 -> 13.05887,80.310602",True,mom,Relative,Notify selected relative
135,"College Road, Pune",Pune,18.511001,73.825508,College Road,3,4,1,2,32,4,None,51.0,Medium,42.54,"18.509203,73.82498 -> 18.508533,73.82518 -> 18.511193,73.824946 -> 18.509376,73.82593",True,dad,Relative,Notify selected relative
136,"Market Road, Hyderabad",Hyderabad,17.400468,78.448536,Market Road,8,8,9,9,57,10,Sexual Harassment,17.7,Low,100.0,"17.400222,78.448583 -> 17.402239,78.449119 -> 17.402851,78.449254 -> 17.398937,78.44944 -> 17.397609,78.448807 -> 17.400385,78.448016 -> 17.400147,78.443831",True,call my mother,Relative,Notify selected relative
137,"Market Road, Pune",Pune,18.501195,73.85995,Market Road,8,2,7,7,80,5,None,38.64,Medium,76.96,"18.498626,73.863114 -> 18.49903,73.862374 -> 18.502263,73.858334 -> 18.505633,73.856966 -> 18.503493,73.862451",True,dad,Relative,Notify selected relative
138,"Railway Station Road, Hyderabad",Hyderabad,17.361528,78.535436,Railway Station Road,8,8,0,0,47,5,Theft,41.11,Medium,64.04,"17.36225,78.536087 -> 17.361192,78.537463 -> 17.363512,78.531065",True,help,Help,Trigger emergency alert and share location
139,"Industrial Road, Delhi",Delhi,28.659552,77.150813,Industrial Road,10,9,0,7,73,4,Harassment,34.8,Medium,83.27,"28.662369,77.148086 -> 28.658525,77.148049 -> 28.659015,77.150043 -> 28.661501,77.154089 -> 28.663041,77.149408",True,dad,Relative,Notify selected relative
140,"Main Road, Vijayawada",Vijayawada,16.498877,80.58908,Main Road,8,2,5,1,64,3,Stalking,46.09,Medium,59.48,"16.501289,80.593119 -> 16.495791,80.587599 -> 16.498811,80.58978",True,save me,Help,Trigger emergency alert and share location
141,"Market Road, Mumbai",Mumbai,19.047664,72.892542,Market Road,6,6,4,6,52,6,Robbery,36.45,Medium,72.18,"19.047628,72.893908 -> 19.04768,72.891451 -> 19.04739,72.892321 -> 19.046739,72.891895 -> 19.051661,72.893944 -> 19.046925,72.894284 -> 19.046829,72.895475",False,none,No Alert,No action
142,"Residential Street, Pune",Pune,18.533337,73.852944,Residential Street,6,2,8,10,49,5,Sexual Harassment,33.25,Medium,84.79,"18.52941,73.850127 -> 18.530352,73.853301 -> 18.537668,73.858522 -> 18.534932,73.854196 -> 18.528834,73.851587",True,dad,Relative,Notify selected relative
143,"Residential Street, Pune",Pune,18.492828,73.83497,Residential Street,10,3,5,4,83,7,Stalking,37.75,Medium,74.71,"18.491648,73.830022 -> 18.494698,73.832288 -> 18.493426,73.840155 -> 18.49053,73.828644",True,dad,Relative,Notify selected relative
144,"Railway Station Road, Hyderabad",Hyderabad,17.37499,78.525234,Railway Station Road,9,7,10,5,16,9,Theft,13.91,Low,100.0,"17.371916,78.526476 -> 17.373827,78.524969 -> 17.381601,78.521477",True,call my father,Relative,Notify selected relative
145,"College Road, Visakhapatnam",Visakhapatnam,17.695681,83.234869,College Road,5,3,3,5,98,8,Abduction,50.14,Medium,64.29,"17.695926,83.235639 -> 17.694702,83.235542 -> 17.694823,83.236423 -> 17.694757,83.235812",True,save me,Help,Trigger emergency alert and share location
146,"Residential Street, Vijayawada",Vijayawada,16.505176,80.687412,Residential Street,5,2,8,8,94,9,Sexual Harassment,40.41,Medium,72.93,"16.500743,80.690567 -> 16.502912,80.685778 -> 16.503687,80.690848",True,call my mother,Relative,Notify selected relative
147,"Park Road, Vijayawada",Vijayawada,16.431451,80.757821,Park Road,3,3,2,9,21,8,Harassment,39.25,Medium,75.73,"16.432009,80.757684 -> 16.432165,80.759124 -> 16.433064,80.75921",True,call my father,Relative,Notify selected relative
148,"Industrial Road, Bengaluru",Bengaluru,12.974735,77.587693,Industrial Road,10,5,7,3,68,4,Sexual Harassment,33.55,Medium,79.3,"12.974248,77.590527 -> 12.976219,77.580342 -> 12.976375,77.58818 -> 12.974688,77.586722 -> 12.977545,77.590062",True,call my sister,Relative,Notify selected relative
149,"College Road, Bengaluru",Bengaluru,12.944549,77.608847,College Road,10,8,7,4,99,7,Harassment,30.75,Medium,78.69,"12.9411,77.60728 -> 12.946705,77.61123 -> 12.945832,77.61066 -> 12.945839,77.607243 -> 12.945629,77.610848 -> 12.946435,77.611819 -> 12.94632,77.609726",True,mom,Relative,Notify selected relative
150,"Bus Stop Area, Vijayawada",Vijayawada,16.543655,80.647072,Bus Stop Area,10,3,4,0,82,8,Sexual Harassment,41.68,Medium,63.91,"16.543247,80.64521 -> 16.541967,80.646711 -> 16.541674,80.646302 -> 16.538921,80.647605 -> 16.543658,80.645029",True,mom,Relative,Notify selected relative
151,"Railway Station Road, Hyderabad",Hyderabad,17.408074,78.519515,Railway Station Road,2,3,4,7,65,3,Abduction,51.7,Medium,48.76,"17.406167,78.517592 -> 17.405724,78.521589 -> 17.407589,78.518854 -> 17.403064,78.521104 -> 17.404976,78.519665 -> 17.408767,78.522917",True,help,Help,Trigger emergency alert and share location
152,"Industrial Road, Bengaluru",Bengaluru,12.925791,77.488917,Industrial Road,6,1,6,0,50,9,Harassment,42.95,Medium,65.76,"12.930292,77.492014 -> 12.926315,77.487688 -> 12.927809,77.486483 -> 12.926982,77.490181 -> 12.928442,77.495816",True,save me,Help,Trigger emergency alert and share location
153,"College Road, Hyderabad",Hyderabad,17.398735,78.468886,College Road,4,1,5,1,91,6,None,56.3,Medium,49.98,"17.394312,78.467149 -> 17.397712,78.467576 -> 17.399116,78.46683 -> 17.401538,78.468887",True,help me,Help,Trigger emergency alert and share location
154,"Market Road, Mumbai",Mumbai,19.075674,72.866224,Market Road,8,8,9,0,10,1,Robbery,26.59,Low,85.09,"19.077737,72.864056 -> 19.074029,72.865465 -> 19.072309,72.864176 -> 19.074483,72.86841 -> 19.07633,72.866708",True,save me,Help,Trigger emergency alert and share location
155,"Residential Street, Delhi",Delhi,28.643681,77.204192,Residential Street,5,4,4,1,6,4,Harassment,40.05,Medium,68.61,"28.643423,77.204855 -> 28.642224,77.198095 -> 28.643345,77.207749 -> 28.645997,77.206605 -> 28.646771,77.204414 -> 28.644174,77.202648",True,dad,Relative,Notify selected relative
156,"Industrial Road, Hyderabad",Hyderabad,17.373937,78.508252,Industrial Road,10,9,0,10,65,10,None,25.34,Low,95.68,"17.373588,78.507127 -> 17.373938,78.509755 -> 17.370327,78.502512 -> 17.372561,78.5052",True,help me,Help,Trigger emergency alert and share location
157,"College Road, Visakhapatnam",Visakhapatnam,17.669015,83.213328,College Road,4,10,6,2,85,2,None,44.43,Medium,60.9,"17.672646,83.214145 -> 17.669766,83.214884 -> 17.666168,83.215926 -> 17.668826,83.215004 -> 17.666335,83.209444 -> 17.67106,83.214269 -> 17.66676,83.211154",True,call my mother,Relative,Notify selected relative
158,"Park Road, Visakhapatnam",Visakhapatnam,17.72619,83.176871,Park Road,8,1,10,6,47,5,Robbery,31.57,Medium,92.25,"17.723938,83.178467 -> 17.725368,83.178379 -> 17.72483,83.176464",True,call my mother,Relative,Notify selected relative
